Size,Runtime
5120,0.00591302
6144,0.00592089
7168,0.00591779
8192,0.00591493
10240,0.00591803
12288,0.00591493
14336,0.00591683
16384,0.00591493
20480,0.00592494
24576,0.00600219
28672,0.00599098
32768,0.00603318
40960,0.00710702
49152,0.00774908
57344,0.00819302
65536,0.00852990
81920,0.00895190
98304,0.00924587
114688,0.00946593
131072,0.00961900
163840,0.00981712
196608,0.00995207
229376,0.01007295
262144,0.01065111
327680,0.01412296
393216,0.01661015
458752,0.01827192
524288,0.01951599
655360,0.02128792
786432,0.02238107
917504,0.02321005
1048576,0.02379894
1310720,0.02464604
1572864,0.02516103
1835008,0.02565098
2097152,0.02633214
2621440,0.02992201
3145728,0.03505707
3670016,0.04092407
4194304,0.04846191
5242880,0.05950499
6291456,0.06684017
7340032,0.07129788
8388608,0.07562113
