Size,Runtime
5120,0.00591302
6144,0.00590992
7168,0.00590897
8192,0.00591493
10240,0.00591183
12288,0.00591588
14336,0.00591302
16384,0.00591493
20480,0.00594091
24576,0.00595188
28672,0.00594878
32768,0.00595593
40960,0.00592589
49152,0.00592780
57344,0.00592685
65536,0.00592780
81920,0.00592494
98304,0.00592589
114688,0.00592494
131072,0.00592685
163840,0.00592899
196608,0.00592899
229376,0.00592899
262144,0.00592709
327680,0.00592685
393216,0.00592685
458752,0.00592685
524288,0.00592589
655360,0.00592589
786432,0.00592589
917504,0.00592613
1048576,0.00592589
1310720,0.00592589
1572864,0.00592589
1835008,0.00593090
2097152,0.00593185
2621440,0.00594902
3145728,0.00595379
3670016,0.00596595
4194304,0.00597095
5242880,0.00598097
6291456,0.00596809
7340032,0.00597382
8388608,0.00596881
